class_id,name,AP,AP50,AP75,Precision,Recall,F1
0,armored_vehicle,0.6064105184434612,0.7783348212319756,0.6495566292833882,0.21687638786084382,0.8443804034582133,0.3451118963486454
1,drone,0.335797127232073,0.40128978522486924,0.3879362596706079,0.14661654135338345,0.43333333333333335,0.21910112359550563
2,fighter_jet,0.6496002647166466,0.7836250890609799,0.7006891460132126,0.41317365269461076,0.8117647058823529,0.5476190476190476
6,military_aircraft,0.37596079677579863,0.42837904666545046,0.4045212025627443,0.16578947368421051,0.4883720930232558,0.24754420432220037
7,military_helicopter,0.1948362537199945,0.2606706362853999,0.19329536085069168,0.07547169811320754,0.3076923076923077,0.12121212121212122
8,military_truck,0.09855198189502207,0.11415598573432004,0.11415598573432004,0.014423076923076924,0.14754098360655737,0.026277372262773723
9,military_vehicle,0.49651038324584196,0.7090576654061886,0.5688207532908189,0.1147007262709742,0.903353057199211,0.20355555555555555
10,missile,0.15083402292798748,0.25475840884084067,0.14290147768895417,0.020618556701030927,0.40540540540540543,0.03924133420536298
11,missile_launcher,0.03145334189232092,0.06298149476453553,0.032039433328265435,0.016666666666666666,0.35064935064935066,0.03182086034177961
12,stealth_aircraft,0.7785254596888261,0.9283108762004021,0.8161151641479938,0.3673469387755102,0.9473684210526315,0.5294117647058824
13,tank,0.2835422663888067,0.4099411758841587,0.3123423705889204,0.1056701030927835,0.5540540540540541,0.1774891774891775
14,warship,0.10093509350935093,0.1485148514851485,0.10121012101210121,0.056962025316455694,0.14516129032258066,0.08181818181818183
15,weapons,0.05076088614318906,0.06778951913051123,0.052454162796120876,0.04338394793926247,0.14084507042253522,0.06633499170812603
,ALL (COCO mean),0.31951679973687075,0.41136995045498315,0.34431062053601075,0.13520767656861665,0.4984554212385993,0.20281058701418153
